9.24395,2.4061,0.75
20.2211,27.7673,0.75
10.5654,14.1882,0.75
6.37339,36.6621,0.75
5.81379,14.407,0.75
24.9439,27.5503,0.75
6.07255,16.0415,0.4
30.0871,6.5433,0.4
17.7924,1.97414,0.4
6.15587,8.74677,0.75
18.5835,33.55,0.75
23.8004,11.6282,0.75
24.5405,17.4457,0.75
35.9762,10.2075,0.75
26.2776,4.31768,0.75
1.49282,37.8642,0.75
5.8824,21.9332,0.4
24.4538,15.4464,0.4
35.9859,32.0915,0.4
15.108,0.956341,0.75
4.08877,2.22582,0.75
30.6199,9.81006,0.75
14.448,24.4559,0.75
17.6593,31.858,0.75
28.6685,19.0067,0.75
2.42569,9.86069,0.75
14.0045,22.4254,0.4
17.3821,38.2011,0.4
2.52976,19.6288,0.4
8.90495,30.7131,0.75
22.4966,10.8603,0.75
29.311,29.4163,0.75
33.9018,15.947,0.75
8.48553,32.2068,0.75
9.2427,25.7102,0.75
36.3089,14.1398,0.75
27.4096,27.4573,0.4
24.4234,2.4302,0.4
14.161,3.10657,0.4
32.384,2.86865,0.75
22.3934,34.763,0.75
14.4418,35.5848,0.75
20.0568,34.0524,0.75
37.147,25.4873,0.75
16.8652,9.47776,0.75
15.7632,36.4036,0.75
21.4645,6.13654,0.4
30.8117,16.359,0.4
24.2933,0.409557,0.4
8.83843,33.7137,0.75
23.7457,6.97122,0.75
9.62076,15.511,0.75
33.4695,31.9014,0.75
14.6777,12.6484,0.75
35.066,7.6791,0.75
15.7954,16.8584,0.75
5.69525,33.4909,0.4
16.4227,26.2576,0.4
27.4344,15.9099,0.4
11.2941,1.18335,0.75
25.22,25.8709,0.75
5.56417,5.69208,0.75
37.9309,34.0317,0.75
19.5931,18.5509,0.75
32.0812,31.1227,0.75
14.2074,18.484,0.75
38.2549,22.9689,0.4
32.7488,34.6387,0.4
16.1093,10.3521,0.4
6.91938,12.3445,0.75
18.7443,21.4693,0.75
27.6329,24.8253,0.75
17.7111,8.15711,0.75
13.1806,3.79236,0.75
22.5803,25.6489,0.75
7.32906,9.92384,0.75
16.2881,11.2745,0.4
15.5347,13.6158,0.4
4.0193,36.6086,0.4
34.0722,37.1267,0.75
29.272,9.01479,0.75
15.8195,27.4119,0.75
31.7367,11.0755,0.75
23.6138,9.72206,0.75
20.7682,29.6516,0.75
15.5293,2.80586,0.75
12.3771,4.90294,0.4
31.435,26.6554,0.4
14.8239,7.1116,0.4
30.6226,1.03755,0.75
35.0783,1.16894,0.75
10.8657,12.6071,0.75
9.35808,23.3323,0.75
23.0055,13.0997,0.75
20.9955,17.7862,0.75
12.2417,16.2055,0.75
26.1475,27.2101,0.4
6.13271,20.5738,0.4
2.3816,27.7584,0.4
23.967,21.6453,0.75
20.5586,3.81438,0.75
24.1723,35.4643,0.75
11.5758,18.2083,0.75
20.2096,23.405,0.75
